0,0,3,23,452
0,1,1,16,453
0,1,1,17,454
0,1,1,14,455
0,1,1,57,456
0,1,0,21,457
0,1,0,6,458
0,1,0,20,459
0,1,0,46,460
0,1,0,44,461
0,1,0,43,462
0,1,0,47,463
0,1,0,49,464
0,0,3,19,465
0,1,1,19,466
0,1,1,18,467
0,1,1,20,468
0,1,1,48,469
0,1,0,10,470
0,1,0,31,471
0,1,0,13,472
0,1,0,5,473
0,1,0,40,474
0,1,0,41,475
0,1,0,39,476
0,1,0,42,477
0,1,1,21,478
0,1,1,23,479
0,1,1,24,480
0,1,1,25,481
0,1,0,9,482
0,1,0,32,483
0,1,0,23,484
0,1,0,33,485
0,1,0,12,486
0,1,0,35,487
0,1,0,38,488
0,1,1,26,489
0,1,1,27,490
0,1,1,29,491
0,1,1,28,492
0,1,0,7,493
0,1,0,30,494
0,1,0,17,495
0,1,0,4,496
0,1,0,3,497
0,1,1,30,498
0,1,1,31,499
0,1,1,33,500
0,1,1,32,501
0,1,0,8,502
0,1,0,28,503
0,1,0,27,504
0,1,1,34,505
0,1,1,37,506
0,1,1,36,507
0,1,0,0,508
0,0,3,65,509
1,1,2,65,510
0,0,1,2,511
0,0,1,3,512
0,0,1,1,513
0,0,1,4,514
0,0,1,6,515
0,0,1,7,516
0,0,1,5,517
0,0,1,8,518
0,0,1,10,519
0,0,1,12,520
0,0,1,9,521
0,0,1,16,522
0,0,1,19,523
0,0,1,21,524
0,0,1,26,525
0,0,1,30,526
0,0,1,34,527
1,1,2,67,528
0,0,1,0,529
0,0,1,50,530
0,0,1,62,531
0,0,1,54,532
0,0,1,60,533
0,0,1,55,534
0,0,1,63,535
0,0,1,59,536
0,0,1,64,537
0,0,1,67,538
0,0,1,15,539
0,0,1,17,540
0,0,1,18,541
0,0,1,23,542
0,0,1,27,543
0,0,1,31,544
0,0,1,37,545
1,1,2,66,546
1,1,2,19,547
1,1,2,18,548
0,0,1,39,549
0,0,1,46,550
0,0,1,40,551
0,0,1,44,552
0,0,1,41,553
0,0,1,43,554
0,0,1,35,555
0,0,1,49,556
0,0,1,13,557
0,0,1,14,558
0,0,1,20,559
0,0,1,24,560
0,0,1,29,561
0,0,1,33,562
0,0,1,36,563
1,1,2,64,564
1,1,2,7,565
1,1,2,26,566
0,0,1,47,567
0,0,1,51,568
0,0,0,2,569
0,0,1,53,570
0,0,1,61,571
0,0,1,52,572
0,0,1,66,573
0,0,1,58,574
0,0,1,65,575
0,0,1,57,576
0,0,1,48,577
0,0,1,25,578
0,0,1,28,579
0,0,1,32,580
1,1,2,61,581
1,1,2,15,582
1,1,2,24,583
1,1,2,14,584
1,1,2,23,585
0,0,0,14,586
0,0,0,24,587
0,0,0,18,588
0,0,0,25,589
0,0,0,16,590
0,0,0,29,591
0,0,1,38,592
0,0,0,21,593
0,0,0,10,594
0,0,0,9,595
0,0,0,7,596
0,0,0,8,597
1,1,2,63,598
1,1,2,5,599
1,1,2,29,600
1,1,3,67,601
1,1,3,51,602
0,0,1,42,603
0,0,0,65,604
0,0,0,66,605
0,0,0,37,606
0,0,0,1,607
0,0,0,36,608
0,0,0,34,609
0,0,0,6,610
0,0,0,31,611
0,0,0,32,612
0,0,0,30,613
0,0,0,28,614
1,1,2,62,615
1,1,2,9,616
1,1,2,25,617
1,1,2,16,618
1,1,3,46,619
1,1,3,0,620
1,1,3,2,621
0,0,0,64,622
0,0,0,61,623
0,0,0,15,624
0,0,0,26,625
0,0,0,19,626
0,0,0,20,627
0,0,0,13,628
0,0,0,23,629
0,0,0,17,630
0,0,0,27,631
1,1,2,60,632
1,1,2,6,633
1,1,2,28,634
1,1,2,4,635
1,1,3,47,636
1,1,3,3,637
1,1,3,1,638
0,0,0,67,639
0,0,0,63,640
0,0,0,57,641
0,0,0,52,642
0,0,0,48,643
0,0,0,46,644
0,0,0,5,645
0,0,0,33,646
0,0,0,4,647
1,1,2,57,648
1,1,2,10,649
1,1,2,21,650
1,1,2,13,651
1,1,3,44,652
1,1,3,32,653
1,1,3,4,654
1,1,3,6,655
1,1,3,7,656
0,0,0,60,657
0,0,0,55,658
0,0,0,51,659
0,0,0,44,660
0,0,0,40,661
0,0,0,12,662
0,0,0,3,663
1,1,2,59,664
1,1,2,1,665
1,1,2,30,666
1,1,2,3,667
1,1,3,53,668
1,1,3,64,669
1,1,3,54,670
1,1,3,8,671
1,1,3,5,672
0,0,0,62,673
0,0,0,58,674
0,0,0,53,675
0,0,0,43,676
0,0,0,41,677
0,0,0,35,678
1,1,2,58,679
1,1,2,2,680
1,1,2,20,681
1,1,2,12,682
1,1,3,40,683
1,1,3,33,684
1,1,3,39,685
1,1,3,13,686
1,1,3,9,687
1,1,3,12,688
1,1,3,10,689
0,0,0,54,690
0,0,0,47,691
0,0,0,39,692
0,0,0,38,693
1,1,2,55,694
1,1,2,54,695
1,1,2,52,696
1,1,2,0,697
1,1,2,27,698
1,1,3,31,699
1,1,3,50,700
1,1,3,17,701
1,1,3,14,702
1,1,3,16,703
1,1,3,15,704
0,0,0,59,705
0,0,0,49,706
0,0,0,42,707
1,1,2,53,708
1,1,2,48,709
1,1,2,51,710
1,1,2,8,711
1,1,3,43,712
1,1,3,63,713
1,1,3,49,714
1,1,3,24,715
1,1,3,25,716
1,1,3,21,717
1,1,3,18,718
1,1,3,20,719
1,1,3,19,720
1,1,2,50,721
1,1,2,47,722
1,1,2,49,723
1,1,2,17,724
1,1,3,59,725
1,1,3,34,726
1,1,3,52,727
1,1,3,60,728
1,1,3,29,729
1,1,3,28,730
1,1,3,26,731
1,1,3,23,732
1,1,2,43,733
1,1,2,42,734
1,1,2,46,735
1,1,2,44,736
1,1,3,55,737
1,1,3,37,738
1,1,3,42,739
1,1,3,36,740
1,1,3,58,741
1,1,3,30,742
1,1,3,27,743
1,1,2,39,744
1,1,2,38,745
1,1,2,40,746
1,1,2,41,747
1,1,3,62,748
1,1,3,35,749
1,1,3,48,750
1,1,3,61,751
1,1,3,66,752
1,1,2,35,753
1,1,2,34,754
1,1,2,36,755
1,1,2,37,756
1,1,3,57,757
1,1,3,41,758
1,1,3,38,759
1,1,2,31,760
1,1,2,32,761
1,1,2,33,762
1,1,3,65,763
0,0,0,0,764
1,0,2,65,765
1,0,2,67,766
1,0,2,66,767
1,0,2,64,768
1,0,2,61,769
1,0,2,63,770
1,0,2,62,771
1,0,2,60,772
1,0,2,57,773
1,0,2,59,774
1,0,2,58,775
1,0,2,55,776
1,0,2,53,777
1,0,2,50,778
1,0,2,43,779
1,0,2,39,780
1,0,2,35,781
1,0,2,31,782
1,1,1,2,783
1,1,1,0,784
1,0,2,19,785
1,0,2,7,786
1,0,2,15,787
1,0,2,5,788
1,0,2,9,789
1,0,2,6,790
1,0,2,10,791
1,0,2,1,792
1,0,2,2,793
1,0,2,54,794
1,0,2,48,795
1,0,2,47,796
1,0,2,42,797
1,0,2,38,798
1,0,2,34,799
1,0,2,32,800
1,1,1,3,801
1,1,1,50,802
1,0,2,18,803
1,0,2,26,804
1,0,2,24,805
1,0,2,29,806
1,0,2,25,807
1,0,2,28,808
1,0,2,21,809
1,0,2,30,810
1,0,2,20,811
1,0,2,52,812
1,0,2,51,813
1,0,2,49,814
1,0,2,46,815
1,0,2,40,816
1,0,2,36,817
1,0,2,33,818
1,1,1,1,819
1,1,1,62,820
1,1,1,39,821
1,1,1,47,822
1,0,2,14,823
1,0,3,67,824
1,0,2,16,825
1,0,2,4,826
1,0,2,13,827
1,0,2,3,828
1,0,2,12,829
1,0,2,0,830
1,0,2,8,831
1,0,2,17,832
1,0,2,44,833
1,0,2,41,834
1,0,2,37,835
1,1,1,4,836
1,1,1,54,837
1,1,1,46,838
1,1,1,51,839
1,0,2,23,840
1,0,3,51,841
1,0,3,46,842
1,0,3,47,843
1,0,3,44,844
1,0,3,53,845
1,0,3,40,846
1,0,2,27,847
1,0,3,43,848
1,0,3,59,849
1,0,3,55,850
1,0,3,62,851
1,0,3,57,852
1,1,1,6,853
1,1,1,60,854
1,1,1,40,855
1,1,0,2,856
1,1,0,14,857
1,1,1,42,858
1,0,3,0,859
1,0,3,3,860
1,0,3,32,861
1,0,3,64,862
1,0,3,33,863
1,0,3,31,864
1,0,3,63,865
1,0,3,34,866
1,0,3,37,867
1,0,3,35,868
1,0,3,41,869
1,1,1,7,870
1,1,1,55,871
1,1,1,44,872
1,1,1,53,873
1,1,0,24,874
1,1,0,65,875
1,0,3,2,876
1,0,3,1,877
1,0,3,4,878
1,0,3,54,879
1,0,3,39,880
1,0,3,50,881
1,0,3,49,882
1,0,3,52,883
1,0,3,42,884
1,0,3,48,885
1,0,3,38,886
1,1,1,5,887
1,1,1,63,888
1,1,1,41,889
1,1,1,61,890
1,1,0,18,891
1,1,0,66,892
1,1,0,64,893
1,1,0,67,894
